player #,rank,by avg,name,hi score,avg score,# games,score 0,score 1,score 2,score 3,score 4,score 5,score 6,score 7,score 8,score 9,score 10,score 11,score 12,score 13,score 14,score 15,score 16,score 17,score 18,score 19,score 20,score 21,score 22,score 23,score 24
0,1,1,Vertigo Gal,475,207,25,45,100,118,121,125,130,133,145,161,173,173,187,190,192,193,200,220,223,256,275,278,314,354,388,475
1,3,9,Potato Log,87,30,20,4,13,13,16,19,19,19,19,23,24,25,26,31,38,41,43,44,47,51,87,,,,,
2,10,10,The Thing,40,24,10,4,6,9,19,25,27,28,38,39,40,,,,,,,,,,,,,,,
3,5,7,The Matrix,78,35,7,13,15,17,32,32,61,78,,,,,,,,,,,,,,,,,,
4,6,6,Running Stardust,65,44,5,21,23,51,61,65,,,,,,,,,,,,,,,,,,,,
5,9,8,Goat Radish,51,33,4,23,25,34,51,,,,,,,,,,,,,,,,,,,,,
6,2,3,Pumpkins,117,79,4,49,65,84,117,,,,,,,,,,,,,,,,,,,,,
7,6,5,Sweet Rolls,65,46,2,26,65,,,,,,,,,,,,,,,,,,,,,,,
8,4,2,Asparagus Soda,86,86,1,86,,,,,,,,,,,,,,,,,,,,,,,,
9,8,4,The Pianist Spider,62,62,1,62,,,,,,,,,,,,,,,,,,,,,,,,
